isbn,publication_year,category,book_name,author,price_in_euros,publisher,published_country,language,no_of_pages
9781844088775,2012,crime,jamaica inn,Daphne Du Maurier,11.63,"Little, Brown",England,English,320.0
9780008379360,2022,crime,the last girl to die,Fields Helen,7.57,HarperCollins Publishers,England,English,366.0
9781784162245,2018,crime,into the water,Hawkins Paula,8.5,Transworld,England,English,426.0
9780241594933,2022,crime,everyone in my family has killed someone,Benjamin Stevenson,12.53,Penguin Books Ltd,England,English,384.0
9781728248202,2022,crime,they drown our daughters,Katrina Monroe,11.31,Sourcebooks,Arizona,English,384.0
9781914484674,2022,crime,aue,Becky Manawatu,8.75,Scribe Publications Pty Ltd,England,English,336.0
9780008511890,2022,crime,all that's left unsaid,Lien Tracey,11.99,HarperCollins Publishers,England,English,400.0
9781472982261,2022,crime,licence to kill,Harkup Kathryn,13.26,Bloomsbury Publishing (UK),England,English,320.0
9780857308283,2022,crime,vera kelly lost and found,Knecht Rosalie,8.18,Crime & Mystery Club,England,English,224.0
9781788164566,2022,crime,begars abbey,L V Valentine,11.56,Profile,England,English,316.0
9781683693161,2022,crime,dare to know,James Kennedy,12.18,Quirk Books,Pennsylvania,English,304.0
9780857303714,2022,crime,a dangerous language,Gentill Sulari,6.59,Crime & Mystery Club,England,English,384.0
9780857303691,2022,crime,give the devil his due,Gentill Sulari,6.59,Crime & Mystery Club,England,English,400.0
9780857303738,2022,crime,all the tears in china,Gentill Sulari,6.59,Crime & Mystery Club,England,English,384.0
9781398510159,2022,crime,game on,Evanovich Janet,7.48,Simon & Schuster UK,England,English,286.0
9781788168427,2022,crime,the box,Dan Malakin,11.56,Profile,England,English,352.0
9781472286215,2022,crime,one of our ministers is missing,Alan Johnson,14.37,Headline Publishing Group,England,English,369.0
9781804180327,2022,crime,dark rooms,La Lynda Plante,15.58,Bonnier Publishing Fiction,England,English,314.0
9781739966065,2022,crime,my name is jensen,Amskinck Heidi,8.67,Muswell Press,England,English,384.0
9781529135695,2022,crime,a fatal crossing,Hindle Tom,11.7,Random House,England,English,464.0
9781472134745,2022,crime,a wake of crows,Evans Kate,9.26,"Little, Brown",England,English,325.0
9781785303951,2022,crime,all through the night,Mark Wright,8.67,Black & White Publishing,Scotland,English,320.0
9780141393018,2013,crime,the night manager,Carr John Le,6.42,Penguin Books Ltd,England,English,472.0
9781444777864,2022,crime,the fields,Erin Young,12.31,Hodder & Stoughton,England,English,352.0
9780752865331,2005,crime,the maltese falcon,Dashiell Hammett,4.99,Orion,England,English,213.0
9781739879419,2022,crime,the girl in the photo,Amsinck Heidi,12.72,Muswell Press,England,English,400.0
